Symbol,Name,Exchange,Sector,MarketCap,LastPrice,TotalScore,IsLegitimate,DataSource
"NVDA","NVIDIA Corporation Common Stock","NASDAQ","Unknown",4531950000000,186.5,0,true,"yahoo"
"AAPL","Apple Inc. Common Stock","NASDAQ","Unknown",4017099326580,271.8599853515625,0,true,"yahoo"
"GOOG","Alphabet Inc. Class C Capital Stock","NASDAQ","Unknown",3786624600000,313.79998779296875,0,true,"yahoo"
"GOOGL","Alphabet Inc. Class A Common Stock","NASDAQ","Unknown",3776971000000,313,0,true,"yahoo"
"MSFT","Microsoft Corporation Common Stock","NASDAQ","Unknown",3594446481511,483.6199951171875,0,true,"yahoo"
"AMZN","Amazon.com, Inc. Common Stock","NASDAQ","Unknown",2467515659659,230.82000732421875,0,true,"yahoo"
"META","Meta Platforms, Inc. Class A Common Stock","NASDAQ","Unknown",1663775061504,660.0900268554688,0,true,"yahoo"
"AVGO","Broadcom Inc. Common Stock","NASDAQ","Unknown",1640954861834,346.1000061035156,0,true,"yahoo"
"TSLA","Tesla, Inc. Common Stock","NASDAQ","Unknown",1495687395783,449.7200012207031,0,true,"yahoo"
"WMT","Walmart Inc. Common Stock","NASDAQ","Unknown",887956301459,111.41000366210938,0,true,"yahoo"
"PLTR","Palantir Technologies Inc. Class A Common Stock","NASDAQ","Unknown",423655809080,177.75,0,true,"yahoo"
"ASML","ASML Holding N.V. New York Registry Shares","NASDAQ","Unknown",420758520679,1069.8599853515625,0,true,"yahoo"
"NFLX","Netflix, Inc. Common Stock","NASDAQ","Unknown",397291436358,93.76000213623047,0,true,"yahoo"
"COST","Costco Wholesale Corporation Common Stock","NASDAQ","Unknown",382766347882,862.3400268554688,0,true,"yahoo"
"AMD","Advanced Micro Devices, Inc. Common Stock","NASDAQ","Unknown",348661376206,214.16000366210938,0,true,"yahoo"
"MU","Micron Technology, Inc. Common Stock","NASDAQ","Unknown",321231598182,285.4100036621094,0,true,"yahoo"
"CSCO","Cisco Systems, Inc. Common Stock (DE)","NASDAQ","Unknown",304352814188,77.02999877929688,0,true,"yahoo"
"AZN","AstraZeneca PLC American Depositary Shares","NASDAQ","Unknown",285116458274,91.93000030517578,0,true,"yahoo"
"APP","Applovin Corporation Class A Common Stock","NASDAQ","Unknown",227720838100,673.8200073242188,0,true,"yahoo"
"TMUS","T-Mobile US, Inc. Common Stock","NASDAQ","Unknown",227101585343,203.0399932861328,1,true,"yahoo"
"LRCX","Lam Research Corporation Common Stock","NASDAQ","Unknown",215007215400,171.17999267578125,0,true,"yahoo"
"SHOP","Shopify Inc. Class A Subordinate Voting Shares","NASDAQ","Unknown",209467210940,160.97000122070312,0,true,"yahoo"
"AMAT","Applied Materials, Inc. Common Stock","NASDAQ","Unknown",203778515628,256.989990234375,0,true,"yahoo"
"ISRG","Intuitive Surgical, Inc. Common Stock","NASDAQ","Unknown",200772395904,566.3599853515625,0,true,"yahoo"
"PEP","PepsiCo, Inc. Common Stock","NASDAQ","Unknown",196240654309,143.52000427246094,0,true,"yahoo"
"INTU","Intuit Inc. Common Stock","NASDAQ","Unknown",184417728000,662.4199829101562,0,true,"yahoo"
"QCOM","QUALCOMM Incorporated Common Stock","NASDAQ","Unknown",183194550000,171.0500030517578,0,true,"yahoo"
"AMGN","Amgen Inc. Common Stock","NASDAQ","Unknown",176250108425,327.30999755859375,0,true,"yahoo"
"BKNG","Booking Holdings Inc. Common Stock","NASDAQ","Unknown",172622716484,5355.330078125,0,true,"yahoo"
"INTC","Intel Corporation Common Stock","NASDAQ","Unknown",161511300000,36.900001525878906,0,true,"yahoo"
"PDD","PDD Holdings Inc. American Depositary Shares","NASDAQ","Unknown",160973712326,113.38999938964844,0,true,"yahoo"
"KLAC","KLA Corporation Common Stock","NASDAQ","Unknown",159652202057,1215.0799560546875,0,true,"yahoo"
"TXN","Texas Instruments Incorporated Common Stock","NASDAQ","Unknown",157637007740,173.49000549316406,0,true,"yahoo"
"GILD","Gilead Sciences, Inc. Common Stock","NASDAQ","Unknown",152281016927,122.73999786376953,0,true,"yahoo"
"ADBE","Adobe Inc. Common Stock","NASDAQ","Unknown",146505814000,349.989990234375,0,true,"yahoo"
"ADI","Analog Devices, Inc. Common Stock","NASDAQ","Unknown",132794191106,271.20001220703125,0,true,"yahoo"
"PANW","Palo Alto Networks, Inc. Common Stock","NASDAQ","Unknown",128387400000,184.1999969482422,0,true,"yahoo"
"HON","Honeywell International Inc. Common Stock","NASDAQ","Unknown",123860145409,195.08999633789062,0,true,"yahoo"
"SNY","Sanofi ADS","NASDAQ","Unknown",118994138076,48.459999084472656,0,true,"yahoo"
"CRWD","CrowdStrike Holdings, Inc. Class A Common Stock","NASDAQ","Unknown",118173664734,468.760009765625,0,true,"yahoo"
"ARM","Arm Holdings plc American Depositary Shares","NASDAQ","Unknown",115788147731,109.30999755859375,0,true,"yahoo"
"VRTX","Vertex Pharmaceuticals Incorporated Common Stock","NASDAQ","Unknown",115025969222,453.3599853515625,0,true,"yahoo"
"CEG","Constellation Energy Corporation Common Stock","NASDAQ","Unknown",110322716562,353.2699890136719,0,true,"yahoo"
"CMCSA","Comcast Corporation Class A Common Stock","NASDAQ","Unknown",108916006754,29.889999389648438,1,true,"yahoo"
"ADP","Automatic Data Processing, Inc. Common Stock","NASDAQ","Unknown",104036350419,257.2300109863281,0,true,"yahoo"
"MELI","MercadoLibre, Inc. Common Stock","NASDAQ","Unknown",102117305815,2014.260009765625,0,true,"yahoo"
"HOOD","Robinhood Markets, Inc. Class A Common Stock","NASDAQ","Unknown",101698261084,113.0999984741211,0,true,"yahoo"
"CME","CME Group Inc. Class A Common Stock","NASDAQ","Unknown",98471732363,273.0799865722656,0,true,"yahoo"
"DASH","DoorDash, Inc. Class A Common Stock","NASDAQ","Unknown",97612544583,226.47999572753906,0,true,"yahoo"
"SBUX","Starbucks Corporation Common Stock","NASDAQ","Unknown",95755191000,84.20999908447266,0,true,"yahoo"
"SNPS","Synopsys, Inc. Common Stock","NASDAQ","Unknown",89865987722,469.7200012207031,0,true,"yahoo"
"NTES","NetEase, Inc. American Depositary Shares","NASDAQ","Unknown",87140747844,137.6199951171875,0,true,"yahoo"
